,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sid,ライン番号,発話文番号,発話文終了,話者,発       話       内       容,,コーディング項目2,コーディング項目3,コーディング項目4,コーディング項目5,コーディング項目6,コーディング項目7,コーディング項目8,コーディング項目9,コーディング項目10,コーディング項目11,コーディング項目12,コーディング項目13,コーディング項目14,コーディング項目15,コーディング項目16,コーディング項目17,コーディング項目18,コーディング項目19,コーディング項目20,
,,1,1,1,*,JF012,これ見たーい。,,,,,,,,,,,,,,,,,,,,,
,,2,2,2,*,JF011,ね。,,,,,,,,,,,,,,,,,,,,,
,,2,3,3,*,JF011,見ようぜ。,,,,,,,,,,,,,,,,,,,,,
,,1,4,4,*,JF012,見よう=。,,,,,,,,,,,,,,,,,,,,,
,,1,5,5,*,JF012,=見る?。,,,,,,,,,,,,,,,,,,,,,
,,1,6,6,*,JF012,はえーよ<笑い>。,,,,,,,,,,,,,,,,,,,,,
,,1,7,7,*,JF012,はえー<笑いながら>。,,,,,,,,,,,,,,,,,,,,,
,,2,8,8,*,JF011,見ようぜ。,,,,,,,,,,,,,,,,,,,,,
,,1,9,9,*,JF012,<笑い>。,,,,,,,,,,,,,,,,,,,,,
,,2,10,10,*,JF011,[話題の紙を封筒から出す音]何だろう。,,,,,,,,,,,,,,,,,,,,,
,,2,11,11,*,JF011,きたねーなー。,,,,,,,,,,,,,,,,,,,,,
,,1,12,12,*,JF012,えー[→]。,,,,,,,,,,,,,,,,,,,,,
,,2,13,13,*,JF011,あーーーーん。,,,,,,,,,,,,,,,,,,,,,
,,1,14,14,*,JF012,<えーーーーーー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,15,15,*,JF011,<えーーーーーー>{>}。,,,,,,,,,,,,,,,,,,,,,
,,1,16,16,*,JF012,っていうかね、「人名1」が引っ越すんだよー<笑い>。,,,,,,,,,,,,,,,,,,,,,
,,2,17,17,*,JF011,え[驚いたように]、ああ、知ってる、知ってる。,,,,,,,,,,,,,,,,,,,,,
